Index,ID,Last Job,Influence,Risk Score,Hiring Score,Work Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
18,18,Support & Network Services Intern,6,6.0,62.55,3,Microsoft Office,Microsoft SCSM,Asset Management,Windows XP/7 Migration,Troubleshooting,IT Support,,,,
19,19,Banking Officer,9,50.0,10.53,10,Financial Analysis,Leadership,Marketing Strategy,Budgeting,Financial Planning,Communication,Project Management,Community Leadership,Time Management,
20,20,HR Manager,7,10.0,33.88,16,Human Resources Management,Recruitment and Talent Acquisition,Employee Relations and Communication,Benefits Administration,Payroll Management,Leadership and Management,Employee Development and Training,Compliance and Risk Management,Data Analysis and Reporting,
21,21,HR Generalist/Recruiter,6,20.0,41.22,10,Recruitment,Employee Relations,Training and Development,Leadership,Communication,Time Management,Employee Onboarding,Benefits Administration,Applicant Tracking System,
22,22,Domestic Violence Counselor Advocate,7,17.5,47.79,24,Crisis Intervention,Trauma-Informed Care,Case Management,Group Facilitation,Leadership,Administrative Support,,,,
23,23,Assistant Vice President,10,0.0,79.65,18,Leadership,Project Management,Risk Management,Financial Analysis,Compliance,Communication,Financial Products,Regulatory Knowledge,Team Management,Business Process Improvement
24,24,Director of Finance,9,18.7,48.8,18,Financial Planning and Analysis,Leadership,Cost Accounting,Financial Reporting,Budgeting,Financial Analysis,Project Management,Microsoft Excel,Microsoft Access,SAP
25,25,Healthcare Consultant,9,25.0,38.42,28,Network Development,Contract Negotiation,Provider Relations,Leadership,Project Management,Communication,Problem-Solving,Time Management,Fitness Instruction,
26,26,HR Manager,7,25.0,45.0,17,Human Resource Management,Recruitment,Payroll Management,Leadership,Training and Development,Compliance,Employee Relations,Benefits Administration,,
27,27,Group Fitness Coordinator,7,48.6,1.88,12,Leadership,Program Management,Event Planning,Marketing,Child Development,Communication,Fitness Instruction,,,
28,28,Line Attendant,6,50.8,7.57,7,Customer Service,Leadership,Time Management,Inventory Management,Food Preparation,Quality Assurance,,,,
29,29,Information Technology Specialist,7,0.0,52.71,21,Network Security,Digital Evidence Analysis,Compliance Management,Technical Support,Training and Development,Cisco Systems,Information and Computer Science,,,
30,30,PROJECT ACCOUNTANT,8,5.0,55.18,41,Project Management,Construction Management,Accounting,Microsoft Applications,Contract Management,Budgeting,Leadership,Database Management,,
31,31,Platform Architect,9,54.0,6.74,16,Software Architecture,Software Development,Leadership,API Design,Cloud Computing,Data Analytics,Web Development,Project Management,,
32,32,Volunteer HR - iVolunteer,8,5.0,67.81,13,Recruitment,Talent Acquisition,Interviewing,Negotiation,Leadership,,,,,
33,33,Accountant,7,17.8,39.92,13,General Accounting,Financial Analysis,Tax Preparation,Auditing,Financial Reconciliation,QuickBooks,SAP,,,
34,34,RF Systems Engineer,9,50.0,12.81,13,Project Management,Leadership,Data Analysis,Electrical Engineering,System Design,SQL,Matlab,Data Acquisition,Signal Processing,
35,35,Personnel Security Specialist,8,51.9,11.71,16,Security Clearance Management,Personnel Security,Information Security,Physical Security,Leadership,Communication,Data Management,Training and Development,,
36,36,Supervisor,7,48.2,12.17,15,Leadership,Operational Management,Customer Service,Project Management,Time Management,Communication,Healthcare Administration,,,
37,37,Senior Student Accounts Officer,8,25.0,42.98,18,Financial Planning,Financial Aid Management,Customer Service,Leadership,Sales and Marketing,Time Management,Communication,Problem-Solving,Accounting,Data Analysis
38,38,Instructional Designer,7,52.8,13.58,22,Instructional Design,E-Learning Development,Quality Assurance,Troubleshooting,Electronics Repair,Test Equipment Operation,Project Management,Leadership,Communication,Microsoft Office
39,39,"Banking Center Manager, Assistant Vice President",9,62.4,4.4,22,Leadership,Human Resource Management,Sales and Business Development,Customer Service,Public Speaking and Presentation,,,,,
40,40,Healthcare Marketing Specialist,7,12.5,46.67,11,Marketing Analysis,Project Management,Social Media Management,Data Analysis,Budgeting,Leadership,Communication,Customer Service,Time Management,Teamwork
41,41,Co-Founder/Therapist and Teaching Artist,8,57.1,8.41,12,Therapy,Counseling,Psychiatric Evaluation,Medication Management,Risk Assessment,Treatment Planning,Case Management,Crisis Intervention,Teaching,Leadership
42,42,Assistant Manager - HR,7,8.8,61.54,7,Recruitment,HR Administration,Training & Development,Performance Appraisal,Employee Engagement,SAP-HR,HR Database Management,,,
43,43,HR COORDINATOR,7,0.0,76.84,20,Human Resources,Leadership,Employee Relations,Benefits Administration,Policy Development,Training and Development,Organizational Leadership,,,
44,44,Sales & Customer Service Rep,7,31.0,28.77,21,Customer Service,Sales,Human Resources,Recruitment,Communication,Organization,,,,
45,45,Fitness Staff,6,30.0,39.2,13,Communication,Customer Service,Time Management,Data Entry,Dental Assisting,Office Administration,,,,
46,46,General Accountant,6,0.0,41.83,6,General Accounting,Financial Reporting,Account Reconciliation,Audit Process,Customer Service,Time Management,Data Entry,Banking Systems,,
47,47,Accountant,6,17.8,59.4,14,Accounting,Financial Analysis,Financial Reporting,Inventory Management,Payroll Management,Budgeting,Financial Planning,Microsoft Excel,,
48,48,HR Executive,8,4.0,62.95,10,Recruitment,Payroll Management,HR Operations,Employee Engagement,Microsoft Office,SAP,Leadership,Communication,Time Management,
49,49,Admissions Executive,7,25.5,34.75,19,Leadership,Communication,Event Planning,Customer Service,Data Analysis,Microsoft Excel,Project Management,Counseling,Community Outreach,Time Management
50,50,Highly accomplished Healthcare Analyst,9,50.2,14.92,41,Data Analysis,Financial Consulting,Project Management,Business Planning,Financial Systems Implementation,Leadership,Communication,,,
51,51,Information Technology Specialist,5,46.0,13.66,8,Microsoft Software Installation,Technical Support,Leadership,Team Management,Customer Service,Time Management,,,,
52,52,Corporate Accountant,8,0.0,76.84,36,Financial Management,Accounting,Leadership,Project Management,IT Management,Budgeting,Payroll Management,Human Resources,,
53,53,Receiving Manager,8,6.0,56.9,10,Leadership,Inventory Management,Operations Management,Customer Service,Team Management,Financial Management,Project Management,Communication,Time Management,Problem-Solving
54,54,Accountant,8,0.0,74.64,29,General Accounting,Financial Reconciliation,Inventory Management,Payroll Management,Leadership,ERP System Implementation,Budgeting,Cost Control,Financial Analysis,Microsoft Excel
55,55,"Mortgage Group Operations Manager, Banking Officer",10,8.0,65.04,23,Leadership,Banking Operations,Mortgage Lending,Credit Analysis,Loan Administration,Financial Analysis,Sales and Marketing,Customer Service,Compliance and Risk Management,Project Management
56,56,Information Technology Support Specialist Network Specialist ~ PC Technician IT Consultant Customer Engineer,8,13.5,53.58,12,Network Management,Desktop Support,Leadership,Data Migration,Network Attached Storage (NAS),IT Project Management,,,,
57,57,Manager,7,8.0,43.05,18,Leadership,Sales,Customer Service,Training and Development,Time Management,Communication,Problem-Solving,Fitness Instruction,Quality Assurance,
58,58,HR Director,9,26.9,28.17,13,HR Management,Employee Relations,Recruitment and Hiring,Benefits Administration,Payroll Management,Compliance and Risk Management,Leadership and Management,Communication and Interpersonal Skills,HRIS and Database Management,
59,59,Fitness Director,8,23.2,45.32,18,Leadership,Event Management,Customer Service,Program Management,Sales,Fitness Training,Time Management,,,
60,60,Occupational Therapist,10,18.8,19.93,20,Occupational Therapy,Leadership,Healthcare Management,Team Management,Compliance,Financial Management,,,,
61,61,Maintenance Specialist/Technician,7,68.0,4.64,13,Logistics,Aviation Maintenance,Electronics,Radar Maintenance,,,,,,
62,62,Home Health Care Provider,7,28.3,27.65,12,Healthcare Management,Patient Care,Aircraft Hydraulics Systems,Maintenance and Repair,Safety and Hazardous Material Handling,Communication and Interpersonal Skills,Time Management and Organization,HIPAA Compliance,,
63,63,Overnight Pharmacy Technician,7,56.8,8.04,16,Pharmacy Operations,Medication Management,Sterile Compounding,Inventory Management,Customer Service,Leadership,,,,
64,64,Transitional Housing Advocate,7,9.8,52.4,23,Case Management,Advocacy,Counseling,Project Coordination,Data Management,Customer Service,Time Management,Communication,,
65,65,Licensed United Healthcare Insurance Sales Agent,9,25.0,32.2,10,Sales,Customer Service,Communication,Time Management,Problem-Solving,HIPAA Compliance,Negotiation,Team Collaboration,,
66,66,Accountant,8,0.0,64.4,21,Auditing,Financial Analysis,Accounting,Financial Reconciliation,Leadership,Grant Compliance,Financial Reporting,Budgeting,,
67,67,IT Technology Specialist,7,15.4,64.41,14,Network Administration,Computer Hardware Support,Software Support,Troubleshooting,Leadership,Communication,Network Security,,,
68,68,Senior HR Business Partner,8,15.2,31.31,16,Recruitment,HR Policy Development,Employee Onboarding,Benefits Administration,Employee Training,Employee Relations,Compliance,Leadership,,
69,69,Customer Service Representative,7,0.0,72.91,12,Customer Service,Leadership,Communication,Time Management,Conflict Resolution,Team Management,Computer Literacy,,,
70,70,Licensed Healthcare Communicator,9,29.8,24.91,15,Nursing,Patient Education,Leadership,Case Management,Communication,Time Management,Documentation,Billing and Insurance,Quality Monitoring,Training and Development
71,71,HR Coordinator,6,0.0,64.4,20.25,Recruitment,Employee Onboarding,HR Administration,Event Planning,Compliance,Employee Relations,Microsoft Office,SAP Administration,SharePoint,Leadership
72,72,Food Server,7,62.2,5.31,10,Customer Service,Communication,Time Management,Teamwork,Leadership,Point of Sale (POS) Systems,Cash Handling,Problem-Solving,Sanitation and Safety,"Adobe Creative Suite (Photoshop, Aftereffects, Illustrator)"
73,73,Service Representative,8,21.2,29.09,9,Customer Service,Sales,Inventory Management,Communication,Retail,,,,,
74,74,Information Technology Administrator,8,21.3,38.1,25,IT Management,Technical Support,Network Administration,Hardware Maintenance,Software Management,Leadership,Microsoft Windows,Mac OS X,Linux,Cisco Infrastructure
75,75,General Accountant,6,12.5,16.73,25,Payroll Management,Financial Reconciliation,General Accounting,Accounting Procedures,Financial Reporting,Tax Filing,Audit Assistance,Oracle Payables,,
76,76,Information Technology Coordinator,7,13.6,57.36,21,Web Development,Technical Support,Project Management,Data Migration,Leadership,Networking,System Development Life Cycle,IT Project Management,,
77,77,Client Advocate / Escalation Specialist,8,22.0,34.83,19,Payroll Management,Accounting,Leadership,Training and Development,Database Management,Communication,Time Management,Problem-Solving,,
78,78,Group Fitness Instructor,7,0.0,68.31,18,Accounting,Project Management,Leadership,Human Resources,Marketing,Customer Service,Data Analysis,Time Management,Communication,
79,79,Donor Advocate,8,33.3,35.28,8,Leadership,Communication,Project Management,Relationship Building,Public Speaking,Event Planning,CRM Systems,Teaching,Data Analysis,
80,80,Customer Success Advocate,7,16.0,51.97,11,Technical Support,Computer Hardware Installation,Networking,Customer Service,Troubleshooting,Communication,,,,
81,81,Global IT Project Manager,9,8.3,59.72,26,Project Management,Leadership,Java Development,System Administration,Business Analysis,Network Administration,IT Infrastructure Management,Customer Support,,
82,82,Information Technology Coordinator,9,31.7,10.51,28,Project Management,Database Management,Network Administration,Leadership,Customer Relationship Management,Disaster Recovery,Microsoft Windows,SQL,Network Security,Training and Development
83,83,Medical Record Technician,7,40.0,14.39,14,Data Analysis,Leadership,Communication,Project Management,Healthcare Administration,,,,,
84,84,"Reading, Speech & Language Arts Teacher",6,21.2,45.58,15,Leadership,Communication,Curriculum Development,Classroom Management,Interpersonal Skills,Public Speaking,Computer Literacy,,,
85,85,Purchaser / Production Coordinator,7,20.0,4.01,19,Procurement,Supply Chain Management,Project Coordination,Communication,Time Management,Problem-Solving,,,,
86,86,Administrative Assistant,6,32.8,10.03,8,Administrative Support,Patient Care,Data Entry,Time Management,Communication,Organizational Skills,,,,
87,87,Consumer Advocate,7,17.5,46.49,36,Customer Service,Insurance Industry Knowledge,Leadership,Data Entry,Communication,Time Management,Team Management,Microsoft Excel,,
88,88,Night Service Representative,6,28.0,31.15,7,Customer Service,Communication,Sales,Time Management,Problem-Solving,,,,,
89,89,Disability Advocate,8,8.0,54.51,38,Community Outreach,Counseling,Public Relations,Leadership,Project Management,Data Analysis,Communication,Time Management,Problem-Solving,
90,90,HR Assistant/Payroll,8,0.0,50.75,25,Payroll Management,Human Resources,Benefits Administration,OSHA Compliance,Worker's Compensation,Unemployment Claims,HRIS System Management,Leadership,Time Management,
91,91,HR Professional,7,0.0,4.01,12,HR Policies and Procedures,Recruitment,Employee Relations,Benefits Administration,Training and Development,Communication,Customer Service,Financial Products and Services,Time Management,
92,92,Accountant II,7,6.2,55.07,13,General Accounting,Financial Reconciliation,Accounts Payable,Leadership,Financial Analysis,,,,,
93,93,HR Manager,9,28.0,22.83,32,Talent Acquisition,Performance Management,Instructional Training Design,Employee Relations,Recruitment Strategy,Leadership,HR Operations,Compliance,Payroll Management,
94,94,Practicum Experience,7,29.5,36.32,16.5,Patient Assessment,Medication Management,Leadership,Critical Thinking,Communication,Collaboration,Time Management,Wound Care,Telemetry,Oncology
95,95,Line Service Technician,6,31.3,32.95,7,Aircraft Handling,Communication,Teamwork,Customer Service,Physical Labor,Aviation,Time Management,,,
96,96,Information Technology Manager,9,10.0,41.7,23,Network Administration,Windows Server Administration,Microsoft Active Directory Administration,Database Administration,Microsoft Exchange Server Administration,Technical Support,Leadership,Software Development,Hardware Installation and Configuration,Operating System Administration
97,97,Director of Aviation and Safety,9,0.0,52.71,39,Leadership,Aviation Management,Project Management,Safety Management,Training Development,Budgeting,Logistical Management,Aircraft Maintenance,Strategic Planning,
98,98,Finance Manager,9,0.0,90.0,26,Financial Management,Accounting,Leadership,Payroll Management,Project Management,Human Resources,Communication,,,
99,99,Finance Accountant,6,12.6,55.35,26,Financial Reconciliation,General Accounting,Payroll Management,Financial Analysis,Leadership,Process Improvement,Time Management,Microsoft Excel,,
100,100,President/Chief Executive Officer,10,25.0,38.42,29,Leadership,Program Management,Child Welfare,Staff Supervision,Policy Development,Team Management,Strategic Planning,Communication,,
101,101,Chief Executive Officer,9,55.8,9.02,25,Leadership,Marketing,Sales,Project Management,Budgeting,Data Analysis,Strategic Planning,Communication,Team Management,Business Development
102,102,Assistant Banking Center Manager,9,0.0,60.45,18,Sales Management,Leadership,Customer Service,Mortgage Lending,Financial Planning,Compliance and Operations,Team Management,,,
103,103,Accountant,7,4.0,59.35,19,General Accounting,Financial Reconciliation,Payroll Management,Accounts Payable,Accounts Receivable,Cash Management,Financial Reporting,Bookkeeping,Leadership,
104,104,Bilingual Domestic Violence Advocate,5,25.0,38.42,3.75,Counseling,Case Management,Mental Health Assessment,Community Outreach,Research,,,,,
105,105,Preventative Healthcare Intern,6,51.3,11.55,1,Healthcare Management,Health Education,Leadership,Project Management,Communication,Community Outreach,,,,
106,106,Finance Director and Treasurer,8,26.0,22.23,11,Financial Management,Budgeting,Accounting,Leadership,Investment Management,Auditing,Financial Reporting,,,
107,107,Finance Officer,6,29.3,32.19,14,Financial Management,Budgeting,Microsoft Excel,Customer Service,Leadership,Communication,Time Management,,,
108,108,"Personal Trainer, Group Fitness Instructor",7,0.0,74.68,17,Leadership,Communication,Problem-Solving,Project Management,Time Management,Adaptability,Teamwork,Intelligence Analysis,Fitness Instruction,Health Promotion
109,109,Principal Accountant,8,25.0,40.3,28,Financial Reporting,Accounting,Financial Analysis,Revenue Recognition,Financial Planning and Budgeting,Leadership and Management,Auditing and Compliance,Financial Software and Systems,,
110,110,Project Manager,7,75.0,1.29,20,Project Management,Leadership,IT Support,Network Management,Risk Analysis,Quality Control,Communication,,,
111,111,Hospital & Physician Billing Specialist,7,34.6,20.03,13.5,Medical Billing,Healthcare Management,Insurance Verification,Marketing,Communication,Project Management,Data Analysis,Software Proficiency,,
112,112,Program Manager,9,37.4,18.36,12,Project Management,Leadership,Communication,Data Analysis,Microsoft Office,Time Management,Customer Service,,,
113,113,Financial Accountant,9,27.1,32.18,28,Financial Reporting,Accounting Operations,Financial Analysis,SAP,Financial Planning and Budgeting,Leadership,Payroll Management,Project Management,Data Analysis,
114,114,Senior VP - Information Technology,10,44.8,14.51,14,Leadership,Project Management,IT Management,System Administration,Vendor Management,Problem-Solving,Communication,Computer Science,,
115,115,Branch Logistics Manager,8,33.1,24.42,24,Leadership,Team Management,Sales Management,Compliance Management,Problem-Solving,,,,,
116,116,HR Assistant,6,39.3,18.64,20,Recruitment,HR Administration,Employee Onboarding,Time Management,Data Entry,Communication,Payroll Processing,Accounts Payable/Receivable,Vendor Management,Microsoft Office
117,117,ASP.Net Web Developer,7,48.5,23.87,12,ASP.Net,SQL Server,HTML,CSS,SharePoint,MVC Framework,Pair Programming,Code Review,,
118,118,Lead Administrator,9,24.9,37.51,15,Project Management,Leadership,Communication,Problem-Solving,Time Management,Collaboration,Event Planning,Artistic Direction,,
119,119,Territory HR Manager,9,20.8,38.72,35,Leadership,Team Management,Inventory Management,Business Planning,Communication,Performance Management,Compliance,Human Resources,,
120,120,Aviation Supply Technician,7,38.8,17.55,11,Data Analysis,Logistics Management,Supply Chain Management,Contract Negotiation,Project Management,,,,,
121,121,System Administrator,7,25.0,20.91,37,System Administration,Troubleshooting,Computer Security,Microsoft Office,Microsoft Word,Microsoft PowerPoint,Microsoft Excel,Microsoft Access,Anti Hacking,HIDS
122,122,Accountant,6,23.9,30.53,17,General Accounting,Financial Reporting,Payroll Management,Financial Analysis,Account Reconciliation,Microsoft Excel,Taxation,,,
123,123,Business Banking Specialist,8,0.0,52.71,11,Leadership,Customer Service,Communication,Time Management,Risk Management,Sales,,,,
124,124,K-12 Principal,9,26.4,33.84,18,Leadership,Curriculum Development,Teacher Training and Development,Classroom Management,Data Analysis,Communication,Project Management,Time Management,Collaboration,Problem-Solving
125,125,Vice President,10,87.9,0.63,29,Leadership,Project Management,Strategic Planning,Operations Management,Customer Service Management,Financial Management,International Business,,,
126,126,Volunteer Advocate,6,12.5,43.83,16,Advocacy,Case Management,Customer Service,Inventory Management,Loan Administration,,,,,
127,127,Accountant,7,44.1,11.62,27,Accounting,Financial Reporting,System Implementation,,,,,,,
128,128,Account Receivable,9,19.0,49.76,27,Account Reconciliation,Cash Management,Customer Service,Leadership,Financial Analysis,Time Management,,,,
129,129,Senior Executive - Finance,8,55.3,8.8,10,Accounts Payable,General Ledger Reconciliation,Bank Reconciliation,Financial Analysis,Journal Entries,Petty Cash Management,,,,
130,130,Professional Healthcare Representative,10,13.7,46.52,15,Sales Performance,Customer Relationship Management,Presentation Skills,Industry Knowledge,Leadership,Communication Skills,Human Resource Development and Management,,,
131,131,Senior HR Manager,9,12.5,38.69,22,Human Resources Management,Payroll Management,Financial Management,Leadership,Benefits Administration,Compliance,Data Analysis,Project Management,Time Management,Communication
132,132,Senior Director of Finance,9,0.0,4.01,10.5,Financial Analysis,Strategic Planning,Leadership,Project Management,Process Improvement,Communication,Data Analysis,Business Administration,,
133,133,Operation Manager,9,19.0,26.72,14,Leadership,Project Management,Training and Development,Operations Management,Logistics Management,Marketing,Microsoft Office,Data Analysis,Communication,
134,134,Domestic Violence and Sexual Assault Advocate,7,36.7,19.98,18,Counseling,Public Speaking,Leadership,Project Management,Community Outreach,Research,Time Management,Customer Service,Problem Solving,
135,135,Chief Operating Officer,10,65.4,5.09,12,Leadership,Project Management,Financial Management,Negotiation,Strategic Planning,Team Management,Banking,Business Development,,
136,136,HR Consulting,9,0.0,31.82,7,Performance Management,Employee Relations,HR Operations,Talent Management,Leadership,People Management,Mentorship,HR Consulting,Employee Engagement,
137,137,Accountant,6,29.9,29.18,11,General Accounting,Financial Reconciliation,Budgeting,Accounts Payable,Accounts Receivable,Financial Analysis,,,,
138,138,Intern,2,59.7,7.08,1,Data Analysis,R Programming,Linear Model,Regression Model,,,,,,
139,139,HR Consultant,8,32.5,36.45,14,HR Consulting,Employment Law,Compliance Management,HR Support,Policy Implementation,Communication,,,,
140,140,Secretary - Finance Division,6,0.0,64.4,17,Administrative Management,Communication,Event Planning,Payroll Management,Project Management,Microsoft Office,Leadership,Time Management,,
141,141,Gunnery Sergeant,9,0.0,4.01,17,Network Administration,Computer Hardware Support,Software Support,Leadership,Logistical Support,Inventory Management,,,,
142,142,HR Representative,8,8.0,44.61,18,Human Resources,Employee Relations,Talent Acquisition,Onboarding & Orientation,Leadership,Communication,Time Management,Customer Service,,
143,143,Finance Manager,9,20.0,47.18,29,Financial Analysis,GAAP and Statutory Accounting,Financial Reporting,Leadership and Management,Payroll Management,Accounting Software,Auditing and Compliance,Financial Planning and Analysis,Budgeting,Microsoft Excel
144,144,Creative Director,9,48.3,11.23,21,Graphic Design,Art Direction,Leadership,Problem Solving,Time Management,Communication,Medical Billing,Data Entry,,
145,145,Licensed United Healthcare Insurance Sales Agent,7,0.0,76.84,10,Sales,Customer Service,Communication,Negotiation,Time Management,Troubleshooting,Account Management,Insurance,Data Entry,Microsoft Office
146,146,Operations Manager,8,23.2,34.07,22,Business Management,Leadership,Strategic Planning,Marketing,Project Management,Healthcare Management,,,,
147,147,Finance Controller,9,49.6,7.18,22,Financial Reporting,Accounting Operations,Budgeting,Financial Analysis,Leadership,ERP System Implementation,GAAP Compliance,Project Management,Microsoft Excel,
148,148,CNA in Skilled Healthcare,8,26.4,27.46,17,Patient Care,Vital Signs Monitoring,Patient Education,Teamwork and Collaboration,Quality Assurance,Leadership,Communication,Basic Life Support,,
149,149,HR Representative,7,10.0,42.69,13,Recruitment,Training and Development,Leadership,Communication,Project Management,Employee Relations,Customer Service,Food Safety and Regulations,Time Management,
150,150,Director of Applications,9,50.0,14.31,16,Project Management,Leadership,Budgeting,Negotiation,Healthcare IT,EHR Implementation,Computerized Physician Order Entry,Ordersets,E-prescription,Clinical Portal
151,151,Full-Time Replenishment Manager,6,10.0,37.95,8,Leadership,Customer Service,Time Management,Training and Development,,,,,,
152,152,Accountant,8,0.0,41.83,19,General Accounting,Financial Reporting,Payroll Management,Account Reconciliation,Leadership,Process Improvement,Risk Management,Time Management,Communication,Microsoft Excel
153,153,Finance Analyst,8,9.8,62.52,13,Financial Analysis,Data Analysis,Budgeting,Sales Strategy,Leadership,Communication,Problem-Solving,Insurance Analysis,Microsoft Excel,
154,154,Accountant,6,41.7,12.86,7,Customer Relationship Management,Marketing,Leadership,Retail Management,Communication,Team Management,,,,
155,155,Sale Consultant,5,50.0,17.08,3.5,Customer Service,Sales,Cash Handling,Communication,Time Management,,,,,
156,156,Finance Director,9,21.2,37.66,32,Financial Analysis,Budgeting,Financial Reporting,Leadership,Payroll Management,Financial Modeling,Strategic Planning,Project Management,Microsoft Excel,
157,157,Talented Arts Program Instructional Coordinator,7,0.0,48.72,24,Project Management,Logistics Management,Budgeting,Customer Service,Teaching,Leadership,Problem Solving,,,
158,158,Customer Service Advocate II,6.5,0.0,64.4,15,Customer Service,Communication,Problem Solving,Time Management,Data Entry,,,,,
159,159,Visual Arts Teacher,8,17.8,42.6,25,Teaching,Lesson Planning,Leadership,Project Management,Fine Arts,Art Education,Communication,,,
160,160,Banking,7,24.4,31.45,10,Banking Operations,Customer Service,Account Management,Cash Management,Microsoft Office,,,,,
161,161,Family and Community Advocate,9,0.0,61.63,16,Case Management,Counseling,Community Outreach,Leadership,Data Entry and Management,Program Development,Mental Health Assessment,Group Therapy,Crisis Intervention,
162,162,SENIOR SPECIALTY SALES REPRESENTATIVE,9,16.7,56.77,12,Sales and Marketing,Business Planning,Microsoft Excel,Leadership,Communication,Project Management,,,,
163,163,Certified Custom Framer,7,35.0,11.95,9,Customer Service,Time Management,Teamwork,,,,,,,
164,164,Retail Banking Director,10,50.0,12.83,31,Leadership,Risk Management,Project Management,Budgeting,Financial Reporting,Marketing,Operations Management,Compliance,Training and Development,
165,165,Key Account Manager,9,5.0,45.45,24,Sales Management,Account Management,Leadership,Project Management,Strategic Planning,Communication,Business Development,Team Collaboration,,
166,166,Medical Billing Specialist,5,25.0,38.42,9,Medical Billing,Healthcare Information Management,Data Entry,Customer Service,Cash Handling,Communication,Time Management,Problem-Solving,,
167,167,Instructional Coach,8,33.3,33.86,32,Instructional Coaching,Curriculum Development,Professional Development,Classroom Management,Leadership,Communication,Project Management,,,
168,168,Aviation Electronics Technician,8.5,47.7,20.71,14,Leadership,Project Management,Financial Analysis,Accounting,Financial Planning,Communication,Problem-Solving,Time Management,,
169,169,Information Technology Manager / Network Engineer,8,40.0,15.13,21,IT Management,Network Engineering,Virtualization,Disaster Recovery,Cybersecurity,Microsoft Technologies,Leadership,Communication,Problem-Solving,Project Management
170,170,Senior Member Advocate,9,17.8,32.21,21,Customer Service,Project Management,Leadership,Time Management,Communication,Problem-Solving,Microsoft Office,Data Entry,Inventory Management,
171,171,WAREHOUSE LEAD,7,32.5,26.08,22,Leadership,Operational Management,Time Management,Negotiation,Team Management,,,,,
172,172,HR Assistant,6,0.0,52.71,14,Event Planning,Project Management,Organizational Management,Customer Service,Time Management,,,,,
173,173,English Language Arts Teacher,7,30.8,24.64,10,Teaching,Curriculum Development,Leadership,Project Management,Communication,Team Management,,,,
174,174,Finance Coordinator,7,10.3,33.2,30,Payroll Management,Payroll Accounting,General Accounting,Financial Reporting,Time and Labor Management,ADP Systems,Paychex Systems,,,
